designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_visibility_periods_used,rv_chisq_pvalue,rv_time_duration,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 659773879372913152,659773879372913152,129.31503988505906,19.32057569645367,0.44934925159252803,7.716533293350806,-14.025881290853354,0.965198,19.085617,19.558987,18.5237,1.035286,0.4733696,0.56191635,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661031819457685888,661031819457685888,130.5426795961714,19.174357883966447,3.082151901910247,-10.704454043096536,-27.941857956286178,1.0373744,18.553734,20.135866,17.324678,2.8111877,1.5821323,1.2290554,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661034293358856576,661034293358856576,130.58078439552204,19.233955619053457,1.0124943215641906,-7.359642209707241,-6.0407198684757075,1.0718527,19.21284,20.610386,18.071089,2.539297,1.3975468,1.1417503,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661220557500525568,661220557500525568,130.47136803890749,19.2194156095617,1.9256998614920482,-21.879906967556437,-22.07939891021051,1.0549276,19.476156,20.769325,18.384237,2.385088,1.293169,1.091919,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661339201677146752,661339201677146752,130.92075695238242,19.760102728883187,0.2691788608819431,-3.7221995225188604,-7.791733294225091,1.0175011,19.081402,20.118923,18.14049,1.9784336,1.0375214,0.94091225,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661353430904534144,661353430904534144,130.7268982543772,19.895759571665987,-1.2459729322466604,4.969365925196318,-6.494279114060441,1.018604,20.426676,20.642591,19.859478,0.7831135,0.21591568,0.5671978,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661356312826929024,661356312826929024,130.68285768795022,19.881616012891797,0.831834144325105,-8.069264244784058,-17.385187687884905,1.0059658,19.093489,20.084202,18.110796,1.9734058,0.9907131,0.9826927,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 661409570421569664,661409570421569664,130.56444128288413,20.08147812469179,1.362120489683201,-0.33665954664188874,-3.627221229127694,1.0678582,20.271492,20.661615,19.707903,0.95371246,0.39012337,0.5635891,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 659682409453103488,659682409453103488,129.9290072618083,18.79953589680484,,,,,21.374914,20.697205,18.758741,1.9384632,-0.6777096,2.6161728,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 659682448109356032,659682448109356032,129.9185487360788,18.798131479396684,2.0373770553445225,7.7603274897969925,0.8888895228001115,1.0337224,14.598506,15.131012,13.920731,1.2102814,0.532506,0.6777754,50.648655,6.74268,13,11,,967.6314,NOT_AVAILABLE,0,true,true,false,false,false,true,true,4783.6934,4.5647,0.287,475.2687,0.0699,0.0546,0.0285
