source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,has_epoch_photometry,teff_gspphot,mh_gspphot
6083693051617430272,201.31073468284043,-47.46428921109182,-0.18768690722995798,-1.9846366145811876,-6.337126516449255,0.9342792,20.010159,20.55762,19.560942,0.9966774,0.54746056,0.44921684,,false,,
6083693051617439232,201.31398607161435,-47.462401753878275,,,,,20.752256,21.159605,20.14883,1.0107746,0.40734863,0.603426,,false,,
6083693051617444736,201.31569820514414,-47.462182089616014,,,,,20.682356,21.301077,20.432203,0.8688736,0.618721,0.2501526,,false,,
6083714595201010560,201.60071211100382,-47.39809850847714,0.38454012234019475,-3.653477477788172,-6.762608455464166,0.9772533,17.665014,,,,,,,false,,
6083713083371672960,201.47124904338415,-47.46274281040862,0.10469477760616464,-3.2441055082138472,-7.217979046793493,1.0088497,18.957766,19.055042,,,0.09727669,,,false,,
6083713083371673984,201.4701899642355,-47.46057221333603,,,,,19.435064,,,,,,,false,,
6083713083371674112,201.4707363525416,-47.46030161594274,,,,,18.915655,18.332216,17.525167,0.8070488,-0.5834389,1.3904877,,false,,
6083713083371674240,201.46962897462174,-47.46051764346548,,,,,20.055197,,,,,,,false,,
6083514862016075392,201.94966809244517,-47.5889402259672,-0.37203394356965025,-3.4628436432754466,-6.708087186665578,1.0209697,19.520634,18.986704,18.40633,0.58037376,-0.5339298,1.1143036,,false,,
6083714560851097216,201.62038824572366,-47.40531683939832,0.24070282381877983,-3.9225831531502875,-6.26523526845299,1.0744231,14.895628,15.265656,14.133615,1.1320419,0.3700285,0.76201344,,false,,
6083514862016079616,201.9478578360713,-47.58855509077612,,,,,20.605656,,,,,,,false,,
6083714595201008128,201.60516350757862,-47.40223057626368,0.06968858223170693,-2.903652451087949,-6.08238610939671,1.0598536,16.31413,16.606716,15.538188,1.0685282,0.29258537,0.7759428,,false,,
6083714595201008384,201.60857521608102,-47.40510884679662,,,,,18.601736,,,,,,,false,,
6083874436673985664,202.4941585122895,-47.529020744015355,0.55630583167085,-2.749661490161171,-8.233919118620136,1.1036372,20.630566,,,,,,,false,,
6083714595201011456,201.60468972868534,-47.4015033739005,0.41632292158395967,0.23160455271569713,-5.106257535744033,8.6898985,15.925287,16.12522,15.103956,1.0212631,0.1999321,0.821331,,false,,
6083874432382401280,202.50441755615958,-47.52739206620336,0.36502958734479496,-3.4138969124675813,-6.978644892650724,0.91393965,19.002388,19.455296,18.518814,0.9364815,0.45290756,0.4835739,,false,,
6083874436674849408,202.4939151674393,-47.54018021362141,0.5773269197516055,-10.49594865411013,2.5466690320770873,0.99019694,19.996166,20.397203,19.289099,1.1081047,0.40103722,0.7070675,,false,,
6083874436676313088,202.49049808152378,-47.531573360259415,-0.2786214137626071,-4.061734828561426,-0.5563381178558875,1.0201023,20.221165,20.546215,19.402632,1.1435833,0.32505035,0.81853294,,false,,
6083877799636911616,202.52287253676977,-47.46255399308573,-0.26567419552729554,-9.13575246934786,-1.0501463436744574,0.9958291,19.028322,19.446205,18.498898,0.9473076,0.41788292,0.52942467,,false,,
6083878078813178624,202.50243406683785,-47.44301455887091,0.0035370260020265165,-4.479786485850885,-2.8347766966022876,0.93571097,19.387886,19.84961,18.775429,1.0741806,0.46172333,0.6124573,,false,,
6083515721010393088,201.82708903509499,-47.54648676180056,0.7023499383325205,-3.7166050969425175,-6.621144424713149,2.5444152,16.532206,16.590069,15.566363,1.0237055,0.057863235,0.96584225,,false,,
6083515721010393216,201.8196765635833,-47.54600305967116,,,,,17.814114,,,,,,,false,,
6083515721010393344,201.8197063244063,-47.54629569729407,,,,,17.561895,,,,,,,false,,
6083888829112926976,202.34400036177507,-47.459097395416855,0.3741431494601079,-3.121972344480797,-7.203950369646764,0.9894774,19.345371,19.732674,18.856699,0.87597466,0.3873024,0.48867226,,false,,
6083888829112932352,202.33489928574667,-47.45686738294156,0.31379700649168185,-6.945371387605137,-1.946713472544884,1.0598942,19.838669,20.441023,19.241386,1.1996365,0.60235405,0.5972824,,false,,
6083515995888766976,201.91024338486503,-47.52258999583313,-0.0888899397957679,-3.791104686828289,-7.125354828289833,1.3489605,18.500633,,,,,,,false,,
6083891955849480576,202.41284312711227,-47.336136042670184,-0.013674582706105035,-7.202463654927036,-5.508557189480116,1.0064076,19.73412,20.198732,19.236391,0.9623413,0.46461296,0.49772835,,false,,
6083891955853162624,202.40903809508657,-47.337066493079796,-0.27561557468589254,-4.450733916491529,-2.1864509467913886,0.9071108,20.040796,20.641163,19.363216,1.2779465,0.6003666,0.6775799,,false,,
6083891960143000192,202.41186375150005,-47.33819582425652,,,,,20.729364,21.061262,19.962656,1.0986061,0.33189774,0.7667084,,false,,
6083892097579924352,202.44412166525987,-47.31830067095791,-0.7998102361950613,-5.16611564570567,-1.6385196917242126,1.027395,19.672731,20.003477,19.198584,0.8048935,0.3307457,0.4741478,,false,,
6083892097579926528,202.4476265459956,-47.31702361287954,-1.13454989965141,-3.8633118742264525,-5.471577935523019,0.9517104,20.223747,,,,,,,false,,
6083516232112549120,201.91995869964992,-47.496631184743954,0.025794089458058528,-3.682262175710189,-6.985478640911859,1.4662964,16.696533,16.766665,15.774163,0.99250126,0.0701313,0.92236996,,false,,
6083894910787046016,202.33272324632856,-47.31150463935774,0.16866782632933902,-5.006156440678215,-6.18761249295375,1.072786,19.568642,20.714624,18.606558,2.1080666,1.1459827,0.9620838,,false,,
6083894910787053312,202.3396909665296,-47.308936590426235,-0.16362565437562243,-2.6282362467492733,-6.297847438672086,1.0877966,19.9624,20.441689,19.508339,0.9333496,0.4792881,0.4540615,,false,,
6083894910787057920,202.3307734834092,-47.306366353316164,0.010005928053422555,-1.0049757311899616,-0.3069074459038412,0.91497225,20.040264,20.36409,19.552105,0.811985,0.32382584,0.48815918,,false,,
6083895121238915200,202.33663339239175,-47.294971511365915,0.9212745759942829,-2.902745635306533,-6.336650285185243,0.97454494,20.242086,20.722914,19.715439,1.0074749,0.48082733,0.52664757,,false,,
6083716244469751808,201.646714093968,-47.311307269767134,-0.5285671454097349,-2.9165476621044557,-9.555564334868606,0.9830318,20.26842,,,,,,,false,,
6083716656782133888,201.36362503482323,-47.43410179525155,-0.37115616270862395,-3.2135348624037228,-6.521733751747426,1.070541,19.365198,19.851307,18.997005,0.85430145,0.48610878,0.36819267,,false,,
6083716656782134656,201.358715239253,-47.433919471960465,0.17499267047315514,-3.4281883493323404,-6.257054174971264,0.9814944,19.158607,19.744957,18.728018,1.0169392,0.5863495,0.43058968,,false,,
